"CIG","COD_CPV","DESCRIZIONE_CPV","OGGETTO_LOTTO"
"891266757A","45321000-3","LAVORI DI ISOLAMENTO TERMICO","'INTERVENTI PER L'EFFICIENTAMENTO ENERGETICO DEGLI EDIFICI PUBBLICI' RELATIVI ALLA SCUOLA SECONDARIA DI 1^ GRADO 'GENNARO VENISTI"
"8829422D85","64112000-4","SERVIZI POSTALI PER LA CORRISPONDENZA","SERVIZIO DI ELABORAZIONE, STAMPA, IMBUSTAMENTO E SPEDIZIONE DEGLI ATTI EMESSI DALL'AREA ORGANIZZATIVA II DEL COMUNE DI MONOPOLI"
"8892898B93","66600000-6","SERVIZI DI TESORERIA","PROCEDURA TELEMATICA PER L'AFFIDAMENTO DEL SERVIZIO TESORERIA PER ASL BT PER LA DURATA DI 5 ANNI"
"89062061B2","66171000-9","SERVIZI DI CONSULENZA FINANZIARIA","PERCORSO ATTUATIVO DI CERTIFICABILITA' DI BILANCIO"
"8895184A0B","33124000-5","APPARECCHI E PRESIDI PER DIAGNOSTICA E RADIODIAGNOSTICA","PROCEDURA NEGOZIATA, DA AFFIDARE CON IL CRITERIO DELLA OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA, PER LA FORNITURA DI SISTEMA COMPLETO DI ANALISI DI IMMAGINE PER LA SCANSIONE E ANALISI DEL CARIOTIPO, TECNICHE DI FISH COMPLETO DI MICROSCOPIO OTTICO MOTORIZZATO. POR PUGLIA 2014-2020 - ASSE IX - AZIONE 9.12 - SCHEDA A0912.135 'OTTIMIZZAZIONE DELLA DIAGNOSTICA E PROGNOSTICA MOLECOLARE IN ONCOLOGIA DI PRECISIONE'"
"8893929E61","39141300-5","ARMADIETTI","FORNITURA BIENNALE IN SOMMINISTRAZIONE DI 1000 ARMADIETTI SPOGLIATOIO SINGOLI"
"8894413DCA","19640000-4","SACCHI E SACCHETTI DI POLIETILENE PER RIFIUTI","FORNITURA, IN SOMMINISTRAZIONE PER ANNI DUE, DI SACCHI IN HDPE PER LA NETTEZZA URBANA"
"89110921C0","66600000-6","SERVIZI DI TESORERIA","SERVIZIO DI TESORERIA ANNO 2021-2026"
"89208473D4","45259000-7","RIPARAZIONE E MANUTENZIONE DI IMPIANTI","ACCORDO QUADRO CON UNICO OPERATORE PER LAVORI DI MANUTENZIONE IMPIANTI TECNOLOGICI PRESSO IMMOBILI COMUNALI"
"89218152A6","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI DI EFFICIENTAMENTO ENERGETICO DEL CORPO PALESTRA DELLA SCUOLA 'ZAGAMI' E REALIZZAZIONE DI IMPIANTO FOTOVOLTAICO"
"8913045D67","09310000-5","ELETTRICITÀ","GARA EUROPEA TELEMATICA A PROCEDURA APERTA PER LA FORNITURA DI ENERGIA ELETTRICA A PREZZO FISSO PER IL 2022 PER I PUNTI DI PRELIEVO ALIMENTATI IN MEDIA E BASSA TENSIONE"
"8928902B04","45453100-8","LAVORI DI RIPARAZIONE","LAVORI PER LA MANUTENZIONE STRAORDINARIA INFISSI ESTERNI E IMPIANTO TERMICO CENTRALIZZATO SCUOLA COMUNALE DELL'INFANZIA 'DON BOSCO'"
"89003522D2","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","FORNITURA DELLA FORNITURA DI KIT PER MATRICE EMOSTATICE PER LE NECESSITÀ DELLA ASL TARANTO "
"8867394504","45450000-6","ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI","LAVORI DI MANUTENZIONE STRAORDINARIA FACCIATE E PARTI ESTERNE AL PALAZZETTO DELLO SPORT PALAPOLI"
"88446189A9","85310000-5","SERVIZI DI ASSISTENZA SOCIALE","'SERVIZIO DI ASSISTENZA EDUCATIVA DOMICILIARE MINORI (ADE) E CENTRO D'ASCOLTO PER LE FAMIGLIE (C.A.F"
"8863268821","85311100-3","SERVIZI DI ASSISTENZA SOCIALE PER PERSONE ANZIANE","SERVIZIO DI ASSISTENZA DOMICILIARE SAD E ADI-ANNO 2021/2022"
"88735182B4","45233222-1","LAVORI DI LASTRICATURA E ASFALTATURA","LAVORI DI RIQUALIFICAZIONE URBANISTICA DI PIAZZA XX SETTEMBRE "
"8905751A35","33120000-7","SISTEMI DI REGISTRAZIONE E DISPOSITIVI DI ESPLORAZIONE","NOLEGGIO DI UN SEPARATORE IMMUNOMAGNETICO CON RELATIVO MATERIALE DI CONSUMO - U.O. EMATOLOGIA P.O. 'V. FAZZI'"
"88636470E6","85311000-2","SERVIZI DI ASSISTENZA SOCIALE CON ALLOGGIO","PROCEDURA APERTA AD EVIDENZA PUBBLICA PER L'INDIVIDUAZIONE DELL'ENTE GESTORE PER IL PROGETTO SAI (EX SIPROIMI)."
"88846461D2","72611000-6","SERVIZI DI ASSISTENZA TECNICA INFORMATICA","PROCEDURA NEGOZIATA EX ART. 36, COMMA 2, LETT. B), DEL D. LGS. 50/2016 SOTTO SOGLIA PER L'AFFIDAMENTO DEL 'SERVIZIO DI GESTIONE E MANUTENZIONE DEI SISTEMI TECNOLOGICI ICT PRESENTI PRESSO LE SEDI DI PUGLIA SVILUPPO S.P.A.' "
"88912657FC","31321220-0","CAVI A MEDIA TENSIONE","FORNITURA CAVI MT"
"8904941DC5","33690000-3","MEDICINALI VARI","RICHIESTA DI PREVENTIVO PER L'AFFIDAMENTO DELLA FORNITURA IN SOMMINISTRAZIONE DI MITOMICINA (DC.IT) 40 MG + KIT  PER SOMMINISTRAZIONE MITOMICINA 40 MG"
"8874426003","85140000-2","VARI SERVIZI SANITARI","AEROPORTO DI BARI. PROCEDURA NEGOZIATA PER L’AFFIDAMENTO DEL SERVIZIO DI PRIMO SOCCORSO SANITARIO AEROPORTUALE PRESSO LO SCALO DI BARI. "
"8866673208","55512000-2","SERVIZI DI GESTIONE MENSA","SERVIZIO DI MENSA BIOLOGICA, A RIDOTTO IMPATTO AMBIENTALE, RIVOLTO AGLI ALUNNI DELLA SCUOLA DELL'INFANZIA STATALE ED AGLI ALUNNI DEL TEMPO PROLUNGATO DELLA SCUOLA PRIMARIA NONCHÉ A FAVORE DI PERSONE INDIGENTI IN DIFFICOLTÀ"
"88564795AC","79220000-2","SERVIZI FISCALI","SERVIZIO TRIENNALE DI SUPPORTO ALLA GESTIONE DIRETTA DELLE FASI DI GESTIONE, ACCERTAMENTO, LIQUIDAZIONE E RISCOSSIONE ORDINARIA DELLE ENTRATE TRIBUTARIE E DEL CANONE UNICO PATRIMONIALE DELL'ENTE, TRAMITE UN'ARCHITETTURA INFORMATICA INTEGRATA"
"88783939AC","72212430-2","SERVIZI DI PROGRAMMAZIONE DI SOFTWARE PER LA GESTIONE DEGLI INVENTARI","ATTIVITÀ DI RICOGNIZIONE FISICA, VALUTAZIONE, CLASSIFICAZIONE E APPOSIZIONE NUMERI IDENTIFICATIVI DEI BENI MOBILI DELL'AOUC POLICLINICO DI BARIO E SUCCESSIVA RICONCILIAZIONE E ALLINEAMENTO DEI DATI TRA LE PROCEDURE GESTIONE CESPITI E CONTABILITÀ GENERALE"
"888094754E","45450000-6","ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI","RIQUALIFICAZIONE AREE ESTERNE CESARE BECCARIA"
"8880882FA7","45454000-4","LAVORI DI RISTRUTTURAZIONE","EFFICIENTAMENTO ENERGETICO SCUOLA MEDIA GALILEO GALILEI - POR PUGLIA 2014-2020 - AZIONE 4.1 INTERVENTI PER L'EFFICIENTAMENTO ENERGETICO DEGLI EDIFICI PUBBLICI"
"8880855961","45454000-4","LAVORI DI RISTRUTTURAZIONE","EFFICIENTAMENTO ENERGETICO SCUOLA MEDIA G. FORTUNATO - POR PUGLIA 2014-2020 - AZIONE 4.1 INTERVENTI PER L'EFFICIENTAMENTO ENERGETICO DEGLI EDIFICI PUBBLICI"
"8880768198","45454000-4","LAVORI DI RISTRUTTURAZIONE","EFFICIENTAMENTO ENERGETICO SCUOLA PRIMARIA VIA GALIZIA - POR PUGLIA 2014-2020 - AZIONE 4.1 INTERVENTI PER L'EFFICIENTAMENTO ENERGETICO DEGLI EDIFICI PUBBLICI"
"863663155D","72262000-9","SERVIZI DI SVILUPPO DI SOFTWARE","SERVIZI DI EVOLUZIONE TECNOLOGICA E CONSOLIDAMENTO FUNZIONALE, NONCHÉ SERVIZI DI ASSISTENZA ALL'UTENZA DELLA PIATTAFORMA TELEMATICA EMPULIA"
"889946787D","33192150-8","LETTI TERAPEUTICI","FORNITURA DI N. 22 POLTRONE DIALISI PER CAD RUVO-BITONTO"
"88876218DC","55330000-2","SERVIZI DI CAFFETTERIA","PROCEDURA DI GARA NEGOZIATA, ART. 36, COMMA 2, LETT. B) DEL D.LGS. 50/2016 COME MODIFICATO DAL D.L. 76 DEL 16/07/2020 CONVERTITO CON LEGGE 120 DELL'11/09/2020, PER L'AFFIDAMENTO IN CONCESSIONE, AI SENSI DELL'ART. 164 DEL D.LGS. 50/2016, DEL SERVIZIO DI SOMMINISTRAZIONE DI ALIMENTI E BEVANDE MEDIANTE DISTRIBUTORI AUTOMATICI PRESSO LE RESIDENZE UNIVERSITARIE E GLI UFFICI AMMINISTRATIVI DELL'ADISU PUGLIA UBICATI IN LECCE"
"89033550FA","33690000-3","MEDICINALI VARI","FORNITURA ANNUALE  DI N. 150 FIALE DI PEMETREXED DA 500 MG"
"88115343E3","66600000-6","SERVIZI DI TESORERIA","PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO DI TESORERIA E CASSA DELL'ASL BR"
"88610398B3","34144000-8","AUTOVEICOLI PER USI SPECIALI","ACQUISIZIONE IN LEASING DI N. 69 VEICOLI PER TRASPORTO SECONDARIO"
"8896392EE9","33169100-3","LASER CHIRURGICO","SISTEMA DI TERMOABLAZIONE PERCUTANEA ECOGUIDATA CON LASER "
"885822240B","45454100-5","LAVORI DI RESTAURO","INTERVENTO DI MIGLIORAMENTO SISMICO E RESTAURO DELLE FACCIATE DEI PADIGLIONI 115, 116, 117 E 118 DELLA FIERA DEL LEVANTE DI BARI"
"889856829E","33159000-9","SISTEMA DI CHIMICA CLINICA","SISTEMA AUTOMATIZZATO DI ARRICCHIMENTO ED ANALISI IMMUNOCITOCHIMICA DELLE CELLULE TUMORALI CIRCOLANTI  (CTC)"
"8904941DC5","33690000-3","MEDICINALI VARI","RICHIESTA DI PREVENTIVO PER L'AFFIDAMENTO DELLA FORNITURA IN SOMMINISTRAZIONE DI MITOMICINA (DC.IT) 40 MG + KIT  PER SOMMINISTRAZIONE MITOMICINA 40 MG"
"8846423B31","90711500-9","MONITORAGGIO AMBIENTALE DIVERSO DA QUELLO PER COSTRUZIONI","CARATTERIZZAZIONE DEI SUOLI ED ANALISI AGRONOMICA, GENETICA E FISIOLOGICA PER LO STUDIO E LA DIFESA DALLA DIFFUSIONE DI SPECIE ALIENE NELL'AMBITO DEL PROGETTO INTERREG V-A GRECIA-ITALIA 2014/2020 - BEST"
"8896083FEA","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI DI RIFUNZIONALIZZAZIONE DEGLI SPAZI DEL SERVIZIO DI RIABILITAZIONE PRESSO IL PIANO PRIMO INTERRATO DEL PRESIDIO OSPEDALIERO DI LUCERA - FOGGIA"
"8756155FAD","33110000-4","IMMAGINOGRAFIA AD USO MEDICO, DENTISTICO E VETERINARIO","FORNITURA,INSTALLAZIONE ED ASSISTENZA TECNICA FULL RISK QUINQUENNALE DI N5 APPARECCHIATURE DI DIAGNOSTICA RX TELECOMANDATA CON DETETORE DINAMICO DIGITALE"
"8840145E6B","45453000-7","LAVORI DI RIPARAZIONE E RIPRISTINO","PROCEDURA APERTA PER L'AFFIDAMENTO DELLA PROGETTAZIONE ESECUTIVA ED ESECUZIONE DEI LAVORI PER IL RECUPERO, EFFICIENTAMENTO ENERGETICO E ABBATTIMENTO BARRIERE ARCHITETTONICHE FABBRICATI E.R.P. IN BRINDISI LOTTO 24 - VIA PAPINI."
"88647417B0","90512000-9","SERVIZI DI TRASPORTO DI RIFIUTI","PROCEDURA APERTA TELEMATICA EX ART. 36, C. 2, LETT B) DEL D.LGS. N. 50/2016 E SMI PER L'AFFIDAMENTO DEL SERVIZIO DI TRASPORTO DI RIFIUTI CODICE CER 150102 E CER 191204 DA CENTRI DI PRESSATURA COREPLA ALL'IMPIANTO DI SELEZIONE DELLA ASM SRL DI MOLFETTA"
"8839558A04","79714000-2","SERVIZI DI SORVEGLIANZA","PROCEDURA APERTA SOPRA SOGLIA COMUNITARIA, CON IL CRITERIO DI AGGIUDICAZIONE DELL'OFFERTA ECONOMICAMENTE PIU' VANTAGGIOSA, PER L'EROGAZIONE DI SERVIZI DI VIGILANZA PASSIVA PRESSO LE 44 SEDI DEI CPI DELLA ARPAL PUGLIA PER LA DURATA DI 12 MESI"
"888249960E","45213270-6","LAVORI DI COSTRUZIONE DI IMPIANTI DI RICICLO","LAVORI DI AMPLIAMENTO E ADEGUAMENTO CENTRO RACCOLTA DIFFERENZIATA RIFIUTI E REALIZZAZIONE CENTRO DI RIUSO"
"8845982F43","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","FORNITURA E POSA IN OPERA DI N.1 SISTEMA HOLTER ECG, COMPRENSIVO DEL SERVIZIO DI ASSISTENZA TECNICA 'FULL RISK ' DELLA DURATA DI N. 36 MESI, DA DESTINARSI ALL'U.O.C. CARDIOLOGIA PEDIATRICA DEL P.O. ' GIOVANNI XXIII'"
"88846461D2","72611000-6","SERVIZI DI ASSISTENZA TECNICA INFORMATICA","PROCEDURA NEGOZIATA EX ART. 36, COMMA 2, LETT. B), DEL D. LGS. 50/2016 SOTTO SOGLIA PER L'AFFIDAMENTO DEL 'SERVIZIO DI GESTIONE E MANUTENZIONE DEI SISTEMI TECNOLOGICI ICT PRESENTI PRESSO LE SEDI DI PUGLIA SVILUPPO S.P.A.' "
"8829884AC7","90712400-5","SERVIZI DI PIANIFICAZIONE STRATEGICA PER LA GESTIONE O CONSERVAZIONE DELLE RISORSE NATURALI","ANALISI DEGLI ASPETTI ENTOMOLOGICI NELL'AMBITO DELLA SECONDA AZIONE PILOTA DEL PROGETTO BEST INTERREG V-A GRECIA-ITALIA 2014/2020"
"8884798F3D","33194200-8","APPARECCHI E STRUMENTI PER TRASFUSIONE","STRUMENTO PER LO SCREENING SIEROLOGICO PER I DONATORI DI SANGUE"
"88485538ED","45453000-7","LAVORI DI RIPARAZIONE E RIPRISTINO","PROGETTAZIONE ESECUTIVA ED ESECUZIONE DEI LAVORI PER RECUPERO, EFFICIENTAMENTO ENERGETICO E ABBATTIMENTO BARRIERE ARCHITETTONICHE FABBRICATI E.R.P. IN BRINDISI LOTTO 22 - VIA GIOVANNI PAPINI E LA PIAZZA ADA NEGRI"
"8813243632","50421000-2","SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICHE","FINANZA DI PROGETTO PER IL COMPLETAMENTO, L'ALLESTIMENTO E LA GESTIONE INTEGRATA DEI COMPARTI OPERATORI DEL NUOVO DIPARTIMENTO EMERGENZA URGENZA DELL'AZIENDA OSPEDALIERO-UNIVERSITARIA POLICLINICO RIUNITI DI FOGGIA, COMPRENSIVA DELLA MANUTENZIONE DELLE APPARECCHIATURE DI ALTA TECNOLOGIA, NONCHÉ DELLA REALIZZAZIONE E GESTIONE DELLA NUOVA CENTRALE DI STERILIZZAZIONE E RELATIVI SERVIZI. "
"8782115E8C","33124110-9","SISTEMI DIAGNOSTICI","FORNITURA DI TEST DIAGNOSTICI PER LA RILEVAZIONE QUANTITATIVA DI ANTICORPI IGG ANTI SARS COV 2"
"8898031777","45316110-9","INSTALLAZIONE DI IMPIANTI DI ILLUMINAZIONE STRADALE","INTERVENTO DI EFFICIENTAMENTO ENERGETICO DI PORZIONE DELL'IMPIANTO DI PUBBLICA ILLUMINAZIONE DEL COMUNE DI TORITTO ANNO 2021"
"8901425848","45453100-8","LAVORI DI RIPARAZIONE","INTERVENTO DI MESSA IN SICUREZZA ED EFFICIENTAMENTO DELLA PISCINA COMUNALE DI RUVO DI PUGLIA."
"88777295BA","33170000-2","ANESTESIA E RIANIMAZIONE","PROCEDURA TELEMATICA PER LA FORNITURA E INSTALLAZIONE DI ARREDI E COMPLEMENTI DI ARREDI PER L'ALLESTIMENTO DELL'U.O.C. DI ANESTESIA E RIANIMAZIONE DEL P.O. CAMBERLINGO DI FRANCAVILLA FONTANA"
"8817150E58","33190000-8","DISPOSITIVI E PRODOTTI MEDICI VARI","PROCEDURA APERTA , AI SENSI DELL'ART. 60 DEL DLGS 50/2016 E S,M,I. PER LA FORNITURA DI N.1 PIATTAFORMA PER ANALISI GENOMICHE E RELATIVO MATERIALE DI CONSUMO ( REAGENTI), DA DESTINARSI ALLA U.O.C. LABORATORIO DI GENETICA MEDICA UNIVERSITARIA."
"8882255CB1","45350000-5","IMPIANTI MECCANICI","ADEGUAMENTO DELL'IMMOBILE ATTUALE SEDE DEL P.O. RIQUALIFICAZIONE ED ADEGUAMENTO A NORMA ANTINCENDIO DELLA SEDE DEL SERVIZIO DI NEUROPSICHIATRIA INFANTILE E DELL'ADOLESCENZA DELLA ASL BA SITA IN BARI PRESSO COLLI GRISONI VIA COTUGNO, 47"
"8876537E0C","85310000-5","SERVIZI DI ASSISTENZA SOCIALE","ASSISTENZA EDUCATIVA SPECIALISTICA PER L'AUTONOMIA E LA COMUNICAZIONE RIVOLTO AGLI ALUNNI DISABILI DELLE SCUOLE DELL'INFANZIA, PRIMARIE E SECONDARIE DI PRIMO GRADO DI TRANI E BISCEGLIE AI SENSI DELL'ART. 92 LETT. A) R.R. 4/2007"
"885009409C","45450000-6","ALTRI LAVORI DI COMPLETAMENTO DI EDIFICI","PROGETTAZIONE ESECUTIVA ED ESECUZIONE DEI LAVORI PER IL RECUPERO, EFFICIENTAMENTO ENERGETICO E ABBATTIMENTO BARRIERE ARCHITETTONICHE FABBRICATI E.R.P. IN BRINDISI LOTTO 20 - VIA BUONARROTI"
"88641976C4","33696000-5","REAGENTI E MEZZI DI CONTRASTO","FORNITURA DI REAGENTI PER COLTURE CELLULARI/CITOGENETICA PER LE NECESSITÀ DEL LABORATORIO DI GENETICA MEDICA DEL P.O. DI VENERE"
"886121491D","90722300-7","SERVIZI DI BONIFICA DI TERRENI","ATTIVITÀ DI BONIFICA ORDIGNI BELLICI DEI FONDALI (BOB). PORTO DI MOLFETTA. 'INTERVENTI DI DRAGAGGIO DEI FONDALI MARINI E GESTIONE DEI SEDIMENTI ESTRATTI'. POR PUGLIA 2014-2020 - ASSE VII - AZIONE 7.4"
"8875644D1F","45315000-8","LAVORI DI INSTALLAZIONE DI IMPIANTI DI RISCALDAMENTO E DI ALTRI IMPIANTI ELETTRICI PER EDIFICI","LAVORI DI EFFICIENTAMENTO ENERGETICO, INSTALLAZIONE IMPIANTI DI PRODUZIONE DI ENERGIA DA FONTI RINNOVABILI, RELAMPING NEGLI EDIFICI SCOLASTICI"
"8890184BE9","45316110-9","INSTALLAZIONE DI IMPIANTI DI ILLUMINAZIONE STRADALE","INTERVENTI DI ESTENDIMENTO DELLA PUBBLICA ILLUMINAZIONE SUL TERRITORIO COMUNALE "
"8860299609","34114121-3","AMBULANZE","PROCEDURA APERTA IN MODALITÀ TELEMATICA PER L'AFFIDAMENTO DELLA FORNITURA, TRAMITE LEASING OPERATIVO O FINANZIARIO CON OPZIONE DI RISCATTO FINALE, DI N. 50 AMBULANZE DI TIPO 'A'"
"8876931333","85311300-5","SERVIZI DI ASSISTENZA SOCIALE PER BAMBINI E GIOVANI","ASSISTENZA DOMICILIARE EDUCATIVA E TUTORAGGIO - ANNO 2021/2022"
"88800690C3","45233141-9","LAVORI DI MANUTENZIONE STRADALE","LAVORI DI MESSA IN SICUREZZA  DEL TRATTO URBANO VIA SAMMICHELE"
"8792584DD7","33183000-6","AUSILI ORTOPEDICI","LOTTO 41: MATERIALE ARTROSCOPICO VARIO"
"8792646105","33183000-6","AUSILI ORTOPEDICI","LOTTO 51: SUTURA ORTOPEDICA"
"88513171DC","45410000-4","LAVORI DI INTONACATURA","LAVORI DI MESSA IN SICUREZZA DEI PROSPETTI DEL PLESSO A DEL PO CAMBERLINGO - FRANCAVILLA"
"887246099B","71321000-4","SERVIZI DI PROGETTAZIONE TECNICA PER IMPIANTI MECCANICI ED ELETTRICI DI EDIFICI","SERVIZI TECNICI RELATIVAMENTE ALL'OPERA DENOMINATA 'MANUTENZIONE STRAORDINARIA CENTRO SPORTIVO POLIVALENTE VIA GALI-ZIA - FASANO"
"8776552FD0","51230000-3","SERVIZI DI INSTALLAZIONE DI ATTREZZATURE DI CONTROLLO","SERVIZI DI ASSISICURAZIONE QUALITA' CONTROLLO DEL RADIOFARMACO"
"88735182B4","45233222-1","LAVORI DI LASTRICATURA E ASFALTATURA","LAVORI DI RIQUALIFICAZIONE URBANISTICA DI PIAZZA XX SETTEMBRE "
"8804330AF3","33124110-9","SISTEMI DIAGNOSTICI","DELIBERA A CONTRARRE PER L'AVVIO DELLA PROCEDURA APERTA TELEMATICA AI SENSI DELL'ART. 60 DEL D.LGS. 50/2016 E S.M.I PER LA FORNITURA A NOLEGGIO DI N. TRE 'AUTOCOLORATORI AUTOMATICI DI VETRINI' OCCORRENTI ALLA U.O. DI ANATOMIA PATOLOGICA."
"8871223CCC","45214210-5","LAVORI DI COSTRUZIONE DI SCUOLE ELEMENTARI","LAVORI DI MESSA IN SICUREZZA, ADEGUAMENTO A NORMA, MANUTENZIONE STRAORDINARIA SCUOLA PRIMARIA 1^ CIRCOLO DIDATTICO 'COLLODI'"
"88514710F2","80110000-8","SERVIZI DI ISTRUZIONE PRESCOLASTICA","AFFIDAMENTO IN CONCESSIONE DEL SERVIZIO ASILO NIDO 'BELVEDERE' DI PROPRIETÀ COMUNALE EX ART. 53 REGOLAMENTO REGIONALE PUGLIA N. 4/2007"
"88523538C9","45331220-4","LAVORI DI INSTALLAZIONE DI IMPIANTI DI CLIMATIZZAZIONE","RICONVERSIONE EX P.O. PARADISO DI GIOIA DEL COLLE -LAVORI DI ADEGUAMENTO E SISTEMAZIONE DELL'IMPIANTO DI CLIMATIZZAZIONE SECONDO E TERZO PIANO, COMPRESO SOSTITUZIONE DEGLI INFISSI PRESSO P.T.A."
"8862060343","45210000-2","LAVORI GENERALI DI COSTRUZIONE DI EDIFICI","LAVORI DI REALIZZAZIONE DELLA MASSERIA - STRALCIO FUNZIONALE DELL'ATTRATTORE CULTURALE"
"8862060343","45210000-2","LAVORI GENERALI DI COSTRUZIONE DI EDIFICI","LAVORI DI REALIZZAZIONE DELLA MASSERIA - STRALCIO FUNZIONALE DELL'ATTRATTORE CULTURALE"
"8807383260","90511000-2","SERVIZI DI RACCOLTA DI RIFIUTI","AFFIDAMENTO DEL SERVIZIO DI IGIENE URBANA E SERVIZI ANNESSI 2022 2023"
"883823563F","45215100-8","LAVORI DI COSTRUZIONE DI EDIFICI PER SERVIZI SANITARI","LAVORI DI RISTRUTTURAZIONE ED ADEGUAMENTO NORMATIVO DELLA U.O. DI OSTETRICIA CON REALIZZAZIONE DI BLOCCO PARTO DEL P.O. PERRINO DI BRINDISI"
"8770325D22","85310000-5","SERVIZI DI ASSISTENZA SOCIALE","GESTIONE SERVIZIO  DI  ASSISTENZA DOMICILIARE AGLI ANZIANI E ASSISTENZA DOMICILIARE INTEGRATA"
"880540306E","73120000-9","SERVIZI DI SVILUPPO SPERIMENTALE","SERVIZI DI ASSISTENZA TECNICA E SUPPORTO ALLA SEZIONE PROTEZIONE CIVILE DELLA REGIONE PUGLIA PER L"
"880825739F","79421000-1","SERVIZI DI GESTIONE DI PROGETTI, ESCLUSI I PROGETTI DI COSTRUZIONE","PROCEDURA SOTTOSOGLIA TELEMATICA AI SENSI DELL'ART. N.2 LETTERA B) DELLA LEGGE N.120 DEL 11/09/2020, DA AGGIUDICARSI CON IL CRITERIO DELL'OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA DI CUI AL COMMA 2 DELL'ART. 95 DEL D.LGS 50/2016 DA ESPLETARSI TRAMITE IL PORTALE EMPULIA. PROCEDURA DI AFFIDAMENTO DEL SERVIZIO DI 'ASSISTENZA TECNICA' NELL'ATTUAZIONE DEI SEGUENTI PROGETTI: 'AETHER' (CUP F49J20000720006) - FINANZIATO NELL'AMBITO DEL PROGRAMMA INTERREG V-A GRECIA-ITALIA 2014/2020, 'FRAMESPORT' (CUP F92F20000010007) E 'STREAM' (CUP J99E20000370001) - FINANZIATI NELL'AMBITO DEL PROGRAMMA INTERREG V-A ITALIA-CROAZIA 2014/2020."
"8769671173","45454000-4","LAVORI DI RISTRUTTURAZIONE","LAVORI EDILI DI MANUTENZIONE STRAORDINARIA DA ESEGUIRE PRESSO ALCUNE STRUTTURE DELLA ASL BT"
"8841267C53","33141420-0","GUANTI CHIRURGICI","FORNITURA ANNUALE DI GUANTI CHIRURGICI STERILI SINTETICI PER LE ESIGENZE AZIENDALI"
